stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8731351,"BEAUVAIS",,49.42619548,2.08848802,,,1,
StopArea:DUA8744895,"BEAUVAIS TILLE AEROPORT",,49.45945747,2.11077476,,,1,
StopArea:DUA8754573,"BONNEVAL",,48.1864324,1.38623514,,,1,
StopArea:DUA8754575,"CHATEAUDUN",,48.07340208,1.33842597,,,1,
StopArea:DUA8727611,"CHANTILLY GOUVIEUX",,49.18732963,2.45949842,,,1,
StopArea:DUA8727210,"VINEUIL SAINT-FIRMIN",,49.2163859,2.49111255,,,1,
StopArea:DUA8727211,"COURTEUIL",,49.20083445,2.53889059,,,1,
StopArea:DUA8727212,"SAINT-NICOLAS AUMONT",,49.20360853,2.55055657,,,1,
StopArea:DUA8727166,"SENLIS",,49.2091564,2.58910037,,,1,
StopArea:DUA8768100,"CORBEIL ESSONNES",,48.61380606,2.47278438,,,1,
StopArea:DUA8768160,"ESSONNES ROBINSON",,48.60555465,2.46243983,,,1,
StopArea:DUA8768161,"VILLABE",,48.59311481,2.46091682,,,1,
StopArea:DUA8768140,"MOULIN GALANT",,48.5862859,2.47311224,,,1,
StopArea:DUA8768162,"LE PLESSIS CHENET",,48.57380684,2.47945286,,,1,
StopArea:DUA8799063,"LA JUSTICE",,48.56333988,2.49591721,,,1,
StopArea:DUA8768163,"LE COUDRAY MONTCEAUX",,48.56627996,2.49254419,,,1,
StopArea:DUA8711630,"COULOMMIERS",,48.80800511,3.08185445,,,1,
StopArea:DUA8711634,"CHAILLY BOISSY LE CHATEL",,48.81390716,3.15148966,,,1,
StopArea:DUA8711635,"CHAUFFRY",,48.81128738,3.17476072,,,1,
StopArea:DUA8711636,"SAINT-SIMEON",,48.79990759,3.20765071,,,1,
StopArea:DUA8711637,"SAINT-REMY LA VANNE",,48.80015659,3.24623109,,,1,
StopArea:DUA8743091,"JOUY SUR MORIN CHAMPGOULIN",,48.79172932,3.25625031,,,1,
StopArea:DUA8743090,"JOUY SUR MORIN EUSTACHE",,48.79784618,3.26759682,,,1,
StopArea:DUA8743088,"JOUY SUR MORIN MONUMENT",,48.79068253,3.27406178,,,1,
StopArea:DUA8711639,"LA FERTE GAUCHER",,48.78148863,3.2986641,,,1,
StopArea:DUA8743081,"LA FERTE GAUCHER CENTRE",,48.78231124,3.30694913,,,1,
StopArea:DUA8727146,"AEROPORT CHARLES DE GAULLE T1",,49.01035592,2.55959381,,,1,
StopArea:DUA8727157,"NANTEUIL LE HAUDOIN",,49.142825,2.79452905,,,1,
StopArea:DUA8727159,"CREPY EN VALOIS",,49.23122039,2.88844224,,,1,
StopArea:DUA8754570,"VOVES",,48.27462869,1.62148876,,,1,
StopArea:DUA8754565,"AUNEAU",,48.44525026,1.77957084,,,1,
StopArea:DUA8754552,"DOURDAN",,48.53358489,2.00898179,,,1,
StopArea:DUA8727112,"EPINAY VILLETANEUSE",,48.95863161,2.3283631,,,1,
StopArea:DUA8727117,"LA BARRE ORMESSON",,48.96672369,2.31721788,,,1,
StopArea:DUA8727602,"ENGHIEN LES BAINS",,48.97279798,2.30699616,,,1,
StopArea:DUA8727603,"CHAMP DE COURSES D'ENGHIEN",,48.98008766,2.29227546,,,1,
StopArea:DUA8727605,"GARE D'ERMONT EAUBONNE",,48.98023757,2.27146406,,,1,
StopArea:DUA8768138,"EVRY COURCOURONNES - Centre",,48.62558412,2.42835342,,,1,
StopArea:DUA8768136,"EVRY - Val de Seine",,48.63404806,2.45194982,,,1,
StopArea:DUA8739100,"PARIS MONTPARNASSE",,48.84218146,2.32145968,,,1,
StopArea:DUA8739300,"VERSAILLES CHANTIERS",,48.7965361,2.13608313,,,1,
StopArea:DUA8739322,"SAINT-CYR",,48.79894825,2.07252723,,,1,
StopArea:DUA8739384,"SAINT-QUENTIN EN YVELINES",,48.78754829,2.04481039,,,1,
StopArea:DUA8739383,"TRAPPES",,48.77471681,2.00620021,,,1,
StopArea:DUA8739325,"LA VERRIERE",,48.75541956,1.94368432,,,1,
StopArea:DUA8739327,"COIGNIERES",,48.74348033,1.92102103,,,1,
StopArea:DUA8739328,"LES ESSARTS LE ROI",,48.72186743,1.89070467,,,1,
StopArea:DUA8739329,"LE PERRAY",,48.69332438,1.85671079,,,1,
StopArea:DUA8739331,"RAMBOUILLET",,48.64351383,1.83167341,,,1,
StopArea:DUA8768137,"GRIGNY CENTRE",,48.65332694,2.39550477,,,1,
